num,date,BitcoinValue,GoldValue,bitcoinPred,goldPred,mark
175,2017/3/5,1270.9333,1226.5,1272.680477,1226.980578,FALSE
176,2017/3/6,1275.197375,1230.95,1276.910533,1231.658557,TRUE
177,2017/3/7,1279.5,1216.65,1281.213578,1217.240436,TRUE
178,2017/3/8,1157.3933,1209.2,1159.13581,1209.736014,TRUE
179,2017/3/9,1192.469143,1206.55,1194.362432,1206.957803,TRUE
180,2017/3/10,1192.09,1202.65,1193.836474,1203.096348,TRUE
181,2017/3/11,1179.159875,1202.65,1180.911012,1203.130578,FALSE
182,2017/3/12,1227.494625,1202.65,1229.375266,1203.130578,FALSE
183,2017/3/13,1227.68,1204.2,1229.415352,1204.836087,TRUE
184,2017/3/14,1245.370786,1204.6,1247.244157,1205.12379,TRUE
185,2017/3/15,1257.399625,1198.8,1259.227327,1199.301899,TRUE
186,2017/3/16,1257,1229.35,1258.74687,1230.051436,TRUE
187,2017/3/17,1091.171888,1229.6,1092.914398,1230.107186,TRUE
188,2017/3/18,952.2323625,1229.6,953.9748726,1230.080578,FALSE
189,2017/3/19,967.69,1229.6,969.5495789,1230.080578,FALSE
190,2017/3/20,1049.084488,1232.4,1050.940678,1233.093341,TRUE
191,2017/3/21,1118.630043,1241.6,1120.492755,1242.294498,TRUE
192,2017/3/22,1113,1249.05,1114.774515,1249.749276,TRUE
193,2017/3/23,1038.789,1247.5,1040.53151,1247.894424,TRUE
194,2017/3/24,941.9197143,1247.5,943.6622244,1247.980578,TRUE
195,2017/3/25,927.93,1247.5,929.6795231,1247.980578,FALSE
196,2017/3/26,956.7863125,1247.5,958.682075,1247.980578,FALSE
197,2017/3/27,1037.22925,1257.55,1039.085882,1258.24305,TRUE
198,2017/3/28,1041.04,1257.25,1042.748873,1257.702017,TRUE
199,2017/3/29,1040.5755,1251.1,1042.323618,1251.610251,TRUE
200,2017/3/30,1037.90455,1248.8,1039.68126,1249.199846,TRUE
201,2017/3/31,1034.74,1244.85,1036.518714,1245.297973,TRUE
202,2017/4/1,1086.929571,1244.85,1088.806394,1245.330578,FALSE
203,2017/4/2,1099.169125,1244.85,1100.999214,1245.330578,FALSE
204,2017/4/3,1079.99,1247.25,1081.735041,1247.93154,TRUE
205,2017/4/4,1141.600363,1257.65,1143.468828,1258.342597,TRUE
206,2017/4/5,1133.079314,1245.8,1134.841852,1246.380452,TRUE
207,2017/4/6,1133.53,1252.5,1135.260202,1253.202025,TRUE
208,2017/4/7,1190.45425,1266.45,1192.326675,1267.141212,TRUE
209,2017/4/8,1181.149838,1266.45,1182.909674,1266.930578,FALSE
210,2017/4/9,1184.03,1266.45,1185.734722,1266.930578,FALSE
211,2017/4/10,1207.744875,1250.05,1209.637011,1250.645417,TRUE
212,2017/4/11,1226.617038,1252.9,1228.495929,1253.594492,TRUE
213,2017/4/12,1219.09,1274.3,1220.85641,1274.995139,TRUE
214,2017/4/13,1180.023713,1284.15,1181.766273,1284.843344,TRUE
215,2017/4/14,1185.260057,1284.15,1186.985805,1284.630578,FALSE
216,2017/4/15,1170.36,1284.15,1172.108378,1284.630578,FALSE
217,2017/4/16,1186.927413,1284.15,1188.794441,1284.630578,FALSE
218,2017/4/17,1205.634875,1284.15,1207.513061,1284.630578,FALSE
219,2017/4/18,1176.97,1278.95,1178.7129,1279.436113,TRUE
220,2017/4/19,1217.930088,1279.05,1219.818199,1279.540994,TRUE
221,2017/4/20,1241.686325,1282.1,1243.578524,1282.798489,TRUE
222,2017/4/21,1236.63,1281.85,1238.406712,1282.306448,TRUE
223,2017/4/22,1261.311225,1281.85,1263.204659,1282.330578,FALSE
224,2017/4/23,1257.988113,1281.85,1259.76718,1282.330578,FALSE
225,2017/4/24,1240.84,1269.4,1242.586284,1269.983477,TRUE
226,2017/4/25,1279.414688,1267.8,1281.305069,1268.194091,TRUE
227,2017/4/26,1309.109875,1261.85,1311.005619,1262.355555,TRUE
228,2017/4/27,1288.02,1262.8,1289.764247,1263.383331,TRUE
229,2017/4/28,1331.294429,1266.45,1333.180226,1267.155801,TRUE
230,2017/4/29,1334.979038,1266.45,1336.686954,1266.930578,FALSE
231,2017/4/30,1333,1266.45,1334.77125,1266.930578,FALSE
232,2017/5/1,1417.172813,1266.45,1419.027785,1266.930578,FALSE
233,2017/5/2,1452.076288,1255.45,1453.969701,1256.025298,TRUE
234,2017/5/3,1447.55,1250.3,1449.328326,1250.784715,TRUE
235,2017/5/4,1508.292125,1228.45,1510.161292,1229.051461,TRUE
236,2017/5/5,1533.335071,1228.05,1535.228905,1228.493608,TRUE
237,2017/5/6,1518.75,1228.05,1520.498751,1228.530578,FALSE
238,2017/5/7,1535.868429,1228.05,1537.73871,1228.530578,FALSE
239,2017/5/8,1640.619225,1229.8,1642.467905,1230.449752,TRUE
240,2017/5/9,1651.1,1220.4,1652.908315,1220.961928,TRUE
241,2017/5/10,1762.88625,1222.95,1764.733599,1223.636545,TRUE
242,2017/5/11,1820.990563,1223.15,1822.861952,1223.651728,TRUE
243,2017/5/12,1829,1231.25,1830.77102,1231.947209,TRUE
244,2017/5/13,1771.920013,1231.25,1773.662525,1231.730578,FALSE
245,2017/5/14,1776.3165,1231.25,1778.031132,1231.730578,FALSE
246,2017/5/15,1780,1233.3,1781.707908,1233.966658,TRUE
247,2017/5/16,1739.031975,1234.2,1740.774519,1234.778221,TRUE
248,2017/5/17,1807.485063,1257.4,1809.348497,1258.096368,TRUE
249,2017/5/18,1783.98,1255.9,1785.72359,1256.29488,TRUE
250,2017/5/19,1961.520488,1252,1963.363532,1252.446348,TRUE
251,2017/5/20,2052.909788,1252,2054.762057,1252.480578,FALSE
252,2017/5/21,2008.84,1252,2010.582529,1252.480578,FALSE
253,2017/5/22,2090.662313,1258.85,2092.518308,1259.551452,TRUE
254,2017/5/23,2287.710288,1260.2,2289.5531,1260.820418,TRUE
255,2017/5/24,2256.32,1252.55,2258.062738,1253.089305,TRUE
256,2017/5/25,2387.206286,1256.95,2389.051298,1257.658535,TRUE
257,2017/5/26,2211.976857,1265.05,2213.719367,1265.747209,TRUE
258,2017/5/27,2279.82,1265.05,2281.683846,1265.530578,FALSE
259,2017/5/28,2192.9808,1265.05,2194.72331,1265.530578,FALSE
260,2017/5/29,2275.9307,1265.05,2277.786195,1265.530578,FALSE
261,2017/5/30,2290.02,1262.7,2291.868572,1263.100831,TRUE
262,2017/5/31,2285.933914,1266.2,2287.713094,1266.904519,TRUE
263,2017/6/1,2399.242671,1264.85,2401.089772,1265.247033,TRUE
264,2017/6/2,2409.93,1274.95,2411.741089,1275.64298,TRUE
265,2017/6/3,2525.765158,1274.95,2527.611875,1275.430578,FALSE
266,2017/6/4,2516.173143,1274.95,2517.932067,1275.430578,FALSE
267,2017/6/5,2529.53,1279.95,2531.371773,1280.657964,TRUE
268,2017/6/6,2883.313697,1293.5,2885.156281,1294.191164,TRUE
269,2017/6/7,2664.920863,1291,2666.663373,1291.404109,TRUE
270,2017/6/8,2683.03,1273.1,2684.905453,1273.697796,TRUE
271,2017/6/9,2827.4913,1266.55,2829.335383,1267.069034,TRUE
272,2017/6/10,2845.372857,1266.55,2847.247195,1267.030578,FALSE
273,2017/6/11,2898.63,1266.55,2900.5058,1267.030578,FALSE
274,2017/6/12,2657.675063,1266.4,2659.417573,1266.865727,TRUE
275,2017/6/13,2748.185086,1262,2750.037651,1262.462363,TRUE
276,2017/6/14,2706,1275.5,2707.742537,1276.19116,TRUE
277,2017/6/15,2442.48025,1254.55,2444.22276,1255.150857,TRUE
278,2017/6/16,2464.959814,1255.4,2466.84974,1255.973026,TRUE
279,2017/6/17,2477.94,1255.4,2479.778015,1255.880578,FALSE
280,2017/6/18,2507.389252,1255.4,2509.285015,1255.880578,FALSE
281,2017/6/19,2617.210263,1248.15,2619.057952,1248.682556,TRUE
282,2017/6/20,2600,1242.2,2601.746238,1242.705555,TRUE
283,2017/6/21,2671.04325,1242.5,2672.905007,1243.01269,TRUE
284,2017/6/22,2727.288013,1250.8,2729.161046,1251.496641,TRUE
285,2017/6/23,2713.48,1255.7,2715.229777,1256.408166,TRUE
286,2017/6/24,2589.164888,1255.7,2590.907398,1256.180578,FALSE
287,2017/6/25,2512.366286,1255.7,2514.108796,1256.180578,FALSE
288,2017/6/26,2502.03,1245.25,2503.786761,1245.821313,TRUE
289,2017/6/27,2517.903114,1249.55,2519.765628,1250.258445,TRUE
290,2017/6/28,2585.349186,1248,2587.213304,1248.394424,TRUE
291,2017/6/29,2558.3,1243.5,2560.043047,1243.965479,TRUE
292,2017/6/30,2477.641375,1242.25,2479.383885,1242.649168,TRUE
293,2017/7/1,2501.191343,1242.25,2503.083221,1242.730578,FALSE
294,2017/7/2,2421.26,1242.25,2423.00251,1242.730578,FALSE
295,2017/7/3,2561.225429,1229.25,2563.069772,1229.835881,TRUE
296,2017/7/4,2599.729838,1223.75,2601.620283,1224.244237,TRUE
297,2017/7/5,2598.89,1220.3,2600.645053,1220.731707,TRUE
298,2017/7/6,2609.96775,1224.9,2611.783926,1225.608535,TRUE
299,2017/7/7,2491.201214,1215.65,2492.943724,1216.210365,TRUE
300,2017/7/8,2502.86,1215.65,2504.683363,1216.130578,FALSE
301,2017/7/9,2536.238938,1215.65,2538.133344,1216.130578,FALSE
302,2017/7/10,2366.170143,1211.9,2367.912653,1212.341459,TRUE
303,2017/7/11,2327.09,1211.05,2328.83256,1211.463972,TRUE
304,2017/7/12,2385.748571,1218.8,2387.619482,1219.498281,TRUE
305,2017/7/13,2354.783417,1218.9,2356.526175,1219.390994,TRUE
306,2017/7/14,2338.49,1230.3,2340.236974,1230.991692,TRUE
307,2017/7/15,2058.9956,1230.3,2060.73811,1230.780578,FALSE
308,2017/7/16,1931.2143,1230.3,1932.95681,1230.780578,FALSE
309,2017/7/17,1910.96,1234.1,1912.704558,1234.806792,TRUE
310,2017/7/18,2320.12225,1240.75,2321.964833,1241.452218,TRUE
311,2017/7/19,2264.7657,1242.15,2266.508212,1242.774524,TRUE
312,2017/7/20,2265.21,1238.7,2266.940324,1239.131707,TRUE
313,2017/7/21,2682.195363,1248.55,2684.037946,1249.243344,TRUE
314,2017/7/22,2807.609857,1248.55,2809.455388,1249.030578,FALSE
315,2017/7/23,2825.51,1248.55,2827.384431,1249.030578,FALSE
316,2017/7/24,2751.821029,1255.55,2753.563539,1256.250888,TRUE
317,2017/7/25,2560.997917,1254.4,2562.740427,1254.801901,TRUE
318,2017/7/26,2564.3,1248.1,2566.005732,1248.613638,TRUE
319,2017/7/27,2647.625,1261.1,2649.480332,1261.79116,TRUE
320,2017/7/28,2781.636583,1264.9,2783.48134,1265.606792,TRUE
321,2017/7/29,2784.8,1264.9,2786.505229,1265.380578,FALSE
322,2017/7/30,2745.955417,1264.9,2747.697979,1265.380578,FALSE
323,2017/7/31,2866.431667,1267.55,2868.27776,1268.239481,TRUE
324,2017/8/1,2862.9,1270.95,2864.679343,1271.653482,TRUE
325,2017/8/2,2693.633983,1269.6,2695.376493,1269.997033,TRUE
326,2017/8/3,2794.117717,1268.1,2795.967374,1268.49488,TRUE
327,2017/8/4,2790,1257.7,2791.779138,1258.270922,TRUE
328,2017/8/5,3218.115017,1257.7,3219.9576,1258.180578,FALSE
329,2017/8/6,3252.562533,1257.7,3254.456264,1258.180578,FALSE
330,2017/8/7,3210.2,1258,3211.942536,1258.51269,TRUE
331,2017/8/8,3457.374333,1261.8,3459.216954,1262.506792,TRUE
332,2017/8/9,3357.326317,1271.05,3359.068827,1271.744398,TRUE
333,2017/8/10,3340.28,1284.4,3342.02636,1285.091154,TRUE
334,2017/8/11,3632.506667,1286.1,3634.349257,1286.746521,TRUE
335,2017/8/12,3852.802914,1286.1,3854.645597,1286.580578,FALSE
336,2017/8/13,3868.52,1286.1,3870.381433,1286.580578,FALSE
337,2017/8/14,4282.992,1282.3,4284.834583,1282.74309,TRUE
338,2017/8/15,4217.028329,1270.3,4218.770839,1270.881251,TRUE
339,2017/8/16,4179.97,1272.75,4181.712584,1273.433292,TRUE
340,2017/8/17,4328.725717,1285.15,4330.569587,1285.841252,TRUE
341,2017/8/18,4130.440067,1295.8,4132.182577,1296.49232,TRUE
342,2017/8/19,4104.71,1295.8,4106.453206,1296.280578,FALSE
343,2017/8/20,4157.958033,1295.8,4159.833842,1296.280578,FALSE
344,2017/8/21,4043.722,1292.9,4045.46451,1293.31468,TRUE
345,2017/8/22,3986.28,1284.2,3988.022511,1284.754083,TRUE
346,2017/8/23,4174.95,1286.65,4176.792893,1287.333292,TRUE
347,2017/8/24,4340.316717,1289,4342.160012,1289.6797,TRUE
348,2017/8/25,4331.77,1285.3,4333.532444,1285.739829,TRUE
349,2017/8/26,4360.513317,1285.3,4362.409072,1285.780578,FALSE
350,2017/8/27,4354.308333,1285.3,4356.080412,1285.780578,FALSE
351,2017/8/28,4339.05,1285.3,4340.797979,1285.780578,FALSE
352,2017/8/29,4607.98545,1318.65,4609.82805,1319.353337,TRUE
353,2017/8/30,4594.98785,1308.5,4596.738874,1309.068888,TRUE
354,2017/8/31,4582.52,1311.75,4584.27195,1312.451621,TRUE
355,2017/9/1,4911.740017,1320.4,4913.582602,1321.095729,TRUE
356,2017/9/2,4580.38748,1320.4,4582.12999,1320.880578,FALSE
357,2017/9/3,4585.57,1320.4,4587.294961,1320.880578,FALSE
358,2017/9/4,4344.098317,1333.1,4345.840827,1333.791192,TRUE
359,2017/9/5,4488.72014,1335.55,4490.564214,1336.233292,TRUE
360,2017/9/6,4385.02,1337.85,4386.76251,1338.52777,TRUE
361,2017/9/7,4654.6585,1343.5,4656.5011,1344.206039,TRUE
362,2017/9/8,4310.750183,1346.25,4312.492693,1346.942123,TRUE
363,2017/9/9,4312.26,1346.25,4313.972989,1346.730578,FALSE
364,2017/9/10,4329.955,1346.25,4331.828392,1346.730578,FALSE
365,2017/9/11,4248.090017,1334.2,4249.832527,1334.781511,TRUE
366,2017/9/12,4198.59,1326.5,4200.332516,1327.040102,TRUE
367,2017/9/13,3961.271267,1327.55,3963.013777,1328.143263,TRUE
368,2017/9/14,3319.63,1324.55,3321.37251,1324.967624,TRUE
369,2017/9/15,3216.43,1322.85,3218.17251,1323.243777,TRUE
370,2017/9/16,3763.62604,1322.85,3765.468623,1323.330578,FALSE
371,2017/9/17,3746.060783,1322.85,3747.80677,1323.330578,FALSE
372,2017/9/18,3678.53,1312.1,3680.27251,1312.673557,TRUE
373,2017/9/19,3943.413333,1309.6,3945.255936,1310.004109,TRUE
374,2017/9/20,3977.561667,1311.3,3979.455597,1311.946521,TRUE
375,2017/9/21,3894.48,1292.1,3896.22251,1292.699332,TRUE
376,2017/9/22,3637.50255,1294.8,3639.24506,1295.490838,TRUE
377,2017/9/23,3776.3869,1294.8,3778.231312,1295.280578,FALSE
378,2017/9/24,3777.62,1294.8,3779.336758,1295.280578,FALSE
379,2017/9/25,3942.555,1293.3,3944.398306,1293.69488,TRUE
380,2017/9/26,3910.307383,1300.05,3912.050085,1300.751833,TRUE
381,2017/9/27,3881,1282.55,3882.742854,1283.147234,TRUE
382,2017/9/28,4201.98905,1283.35,4203.831636,1283.917751,TRUE
383,2017/9/29,4193.574667,1283.1,4195.337597,1283.556448,TRUE
384,2017/9/30,4164.27,1283.1,4166.012854,1283.580578,FALSE
385,2017/10/1,4360.722967,1283.1,4362.565784,1283.580578,FALSE
386,2017/10/2,4386.88375,1273.7,4388.778551,1274.261928,TRUE
387,2017/10/3,4394.07,1271.25,4395.827348,1271.652966,TRUE
388,2017/10/4,4225.175,1274.25,4226.91751,1274.947576,TRUE
